id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2,string_field_17,string_field_18,string_field_19,string_field_20
1216517,2,11,5,KL Rahul,N Pooran,RD Chahar,1,0,1,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216517,2,1,4,MA Agarwal,KL Rahul,KH Pandya,2,0,2,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216517,2,15,1,DJ Hooda,KL Rahul,JJ Bumrah,2,0,2,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216517,2,0,2,MA Agarwal,KL Rahul,TA Boult,4,0,4,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216517,2,2,3,KL Rahul,MA Agarwal,TA Boult,4,0,4,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216517,2,9,6,N Pooran,KL Rahul,RD Chahar,4,0,4,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216517,2,5,3,KL Rahul,CH Gayle,TA Boult,6,0,6,0,NA,NA,NA,NA,Kings XI Punjab,Mumbai Indians,Dubai,2020-10-18,KL Rahul,Dubai International Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,0,Y,NA,Nitin Menon,PR Reiffel,,,,
1216512,2,2,1,JM Bairstow,KS Williamson,CV Varun,0,0,0,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,5,5,KS Williamson,JM Bairstow,Shivam Mavi,0,0,0,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,11,3,MK Pandey,DA Warner,LH Ferguson,0,0,0,1,bowled,MK Pandey,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,7,3,JM Bairstow,PK Garg,CV Varun,1,0,1,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,11,1,MK Pandey,DA Warner,LH Ferguson,1,0,1,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,11,4,V Shankar,DA Warner,LH Ferguson,1,0,1,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,13,4,V Shankar,DA Warner,PJ Cummins,1,0,1,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
1216512,2,14,2,DA Warner,V Shankar,Kuldeep Yadav,1,0,1,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,0,Y,NA,PG Pathak,S Ravi,,,,
